,Date,max,min,mean,sum
4534,2012-01-04,3450115.034089957,3648.0111265524015,514451.70766370906,19034713.183557235
4535,2012-01-05,3209860.8971433616,4563.287428584034,477708.44074795465,17675212.307674322
4536,2012-01-06,21941443.473443188,3802.5212891271267,1519910.1777010555,62316317.28574328
4537,2012-01-07,15425008.792649949,3845.7317583217527,1871248.3389231882,76721181.89585072
4538,2012-01-08,6803178.0449606255,2091.124827388437,1015042.6325508851,41616747.93458629
4539,2012-01-09,1828382.9147464323,1285.8388105794897,305861.8508115256,11011026.629214922
4540,2012-01-10,2227717.0487371236,2521.920111177288,385358.20239499316,13872895.286219753
4541,2012-01-11,1789265.6554518787,2777.2547018728083,315067.57211731956,11342432.596223503
4542,2012-01-12,1730149.8053691576,2817.846354752609,296793.43550001597,10684563.678000575
4543,2012-01-13,11302739.19733969,5490.348404032383,1319922.773833167,50157065.405660346
4544,2012-01-14,11152785.77515276,8847.670919639117,1764614.2895250006,67055343.001950026
4545,2012-01-15,9428321.42000309,5547.962362958552,1390353.2198040932,52833422.35255554
4546,2012-01-16,5842601.458315135,4914.208814770697,1046287.0677350183,39758908.573930696
4547,2012-01-17,2849115.021551629,2646.313886131516,384074.0294425695,13442591.03048993
4548,2012-01-18,2136836.266163722,2353.0064588710216,309479.0295328222,10831766.033648778
4549,2012-01-19,2061859.555070258,1884.2383385171952,310338.59987067134,10861850.995473497
4550,2012-01-20,12228662.297099244,2143.501153684954,1305457.509325988,52218300.373039514
4551,2012-01-21,13359878.336002473,3424.102331634792,1987859.7279326324,79514389.1173053
4552,2012-01-22,7548291.519303819,3598.2536165707106,993448.4273220391,39737937.09288157
4553,2012-01-23,2763495.440954713,819.6895065404893,364676.29420737,13493022.88567269
4554,2012-01-24,2790432.5855690115,700.5333642159135,411010.69276089675,15207395.63215318
4555,2012-01-25,2015642.6847462114,1182.395566143869,327496.7820387392,12117380.93543335
4556,2012-01-26,2013840.9391216114,479.24338561312953,336931.5986540442,12466469.150199635
4557,2012-01-27,8487213.113842014,145.34430547283438,1104326.3447464425,46381706.47935059
4558,2012-01-28,10711847.815776587,725.4121192067589,1712235.511780129,71913891.49476542
4559,2012-01-29,6550582.736130414,4449.36891888911,1043541.9330337617,42785219.25438423
4560,2012-01-30,1899990.5186508726,65.47040787064611,285356.46590670635,11128902.170361549
4561,2012-01-31,2127988.595244083,157.12897888955067,338432.08330841805,13198851.249028305
4562,2012-02-01,1631368.5943521783,53.450393783794475,276874.4437503611,10798103.306264084
4563,2012-02-02,1647681.3938013643,59.96873448913526,282524.1403450917,11018441.473458577
4564,2012-02-03,11211784.584455973,793.9338979105081,1227879.2982968087,50343051.230169155
4565,2012-02-04,13225723.72048159,7316.185607674502,1838270.5384424566,73530821.53769827
4566,2012-02-05,4248533.230604007,381.97476533297026,593790.3133439745,24345402.847102955
4567,2012-02-06,2205408.875904297,1526.5953931908127,287408.3163219094,11208924.336554468
4568,2012-02-07,2196893.31560684,1943.7691983326233,337647.1069264884,13168237.170133049
4569,2012-02-08,1637540.159331995,2035.0259682073943,262185.14569285215,10225220.682021234
4570,2012-02-09,1603784.2801553172,2028.5076275020535,263624.061046709,10281338.380821653
4571,2012-02-10,19937051.63541726,187.72821231381474,1782363.4679704013,78423992.59069766
4572,2012-02-11,21737168.337617446,507.1269068755134,2389148.278509943,105122524.25443749
4573,2012-02-12,13357272.961592354,273.77030962431314,1429232.8639485275,62886246.01373521
4574,2012-02-13,4341845.885137242,187.72821231381474,390345.05975185125,16394492.509577753
4575,2012-02-14,15064397.711622003,100.38244686224816,955031.4747494487,41066353.41422629
4576,2012-02-15,3812930.772620057,156.44017692817891,345112.1828966917,14494711.681661053
4577,2012-02-16,3798538.276342665,146.01083179963368,365855.65372188593,15365937.45631921
4578,2012-02-17,9648257.57649684,1135.4949508703655,1274951.924250415,57372836.59126867
4579,2012-02-18,12694494.597014008,1669.9988887083102,1872050.9664144907,84242293.48865208
4580,2012-02-19,9663277.137150085,1780.8106806991036,1436203.2449976013,64629146.024892054
4581,2012-02-20,7937809.7763756085,650.5304023930107,929812.9395921945,41841582.281648755
4582,2012-02-21,2583003.316283278,341.56105295985736,397963.4061829863,17112426.46586841
4583,2012-02-22,1912644.121464621,362.4197432169479,294643.5827738654,12669674.059276212
4584,2012-02-23,1871624.2034059116,411.9591325775379,306159.61109265033,13164863.276983963
4585,2012-02-24,11794100.551367592,3089.6934943315337,1201887.6582687208,52883056.96382372
4586,2012-02-25,12356512.113101384,3836.6953391635884,1729190.6369853688,76084388.02735622
4587,2012-02-26,7758792.67458041,2263.167892894322,965740.1741868864,42492567.664223
4588,2012-02-27,2538871.5423718393,831.7402740014846,272503.2062706302,11445134.663366467
4589,2012-02-28,2597583.5407729847,984.2694465064591,313288.49510366516,13158116.794353936
4590,2012-02-29,2016429.142175057,896.9236810548925,242064.26236115914,10166699.019168684
4591,2012-03-01,2039065.2057133643,705.1438803445632,251786.14739356545,10575018.190529749
4592,2012-03-02,22676262.734097093,1917.4738177442982,1437493.7862931832,58937245.23802051
4593,2012-03-03,40479541.34873928,2859.3907808467607,2329598.337991671,95513531.85765852
4594,2012-03-04,27693988.956110068,1905.8292399037457,1463417.3620358252,60000111.84346883
4595,2012-03-05,4510009.689745066,442.4939579409919,365198.0132704201,14242722.517546384
4596,2012-03-06,4754752.8391138315,262.6499224035712,418099.3635754852,16305875.179443922
4597,2012-03-07,3378383.1459902707,539.532106612262,310161.82369458716,12096311.124088898
4598,2012-03-08,3739170.9827500526,1042.8366377205832,333360.0455071422,13001041.774778547
4599,2012-03-09,12695093.430437854,1176.102361895794,1172823.5604741904,51604236.660864376
